ActiveUsers,RSRP,SINR,CQI,MCS,PRBUtilization,Throughput
48.0,-63.8,19.2,11,21,32.8,45.02
121.0,-84.6,5.5,6,11,65.2,33.25
163.0,-128.8,-7.9,1,2,93.2,4.24
13.0,-46.9,24.3,13,24,20.5,34.62
130.0,-117.4,-3.6,2,4,74.0,8.21
118.0,-71.8,12.2,8,15,65.1,57.95
147.0,-109.4,-0.4,4,7,86.1,18.76
52.0,-121.3,-3.7,2,4,36.7,4.02
134.0,-98.2,3.3,5,9,75.1,28.41
171.0,-58.6,15.3,9,17,92.9,104.65
7.0,-113.9,-3.5,2,4,18.8,2.22
58.0,-66.1,17.9,10,19,36.4,47.87
34.0,-100.3,2.8,5,9,23.9,8.12
110.0,-132.2,-6.8,1,2,60.2,3.5
171.0,-66.5,12.5,8,15,97.8,87.95
30.0,-132.4,-3.9,2,4,23.8,2.79
103.0,-75.2,14.5,9,17,65.7,70.13
178.0,-87.1,6.5,6,11,92.3,48.01
9.0,-123.7,-4.2,2,4,17.5,1.82
15.0,-118.5,-2.9,3,6,14.2,1.91
138.0,-83.3,8.9,7,13,80.5,55.52
73.0,-53.3,22.7,12,22,49.7,80.39
20.0,-131.8,-7.9,1,2,26.7,1.33
5.0,-57.3,18.5,11,21,26.5,35.68
148.0,-104.5,2.0,5,9,82.6,26.77
54.0,-122.4,-5.5,2,4,39.6,3.08
65.0,-87.6,5.5,6,11,37.4,17.38
90.0,-122.2,-4.2,2,4,57.9,5.81
120.0,-86.1,7.8,7,13,64.8,41.68
163.0,-101.3,1.1,4,7,93.3,22.76
95.0,-109.2,0.2,4,7,53.7,11.47
102.0,-105.9,1.8,4,7,55.5,15.67
57.0,-96.2,5.1,6,11,36.1,16.66
17.0,-48.8,25.7,13,24,15.0,27.82
126.0,-72.9,15.6,10,19,71.3,85.39
129.0,-127.3,-5.9,2,4,75.2,5.74
33.0,-77.4,14.2,9,17,23.7,25.97
38.0,-107.5,5.2,6,11,39.2,18.83
6.0,-71.4,14.8,9,17,15.9,17.0
175.0,-106.8,0.9,4,7,90.2,22.4
87.0,-126.8,-7.7,1,2,55.9,2.88
110.0,-106.4,-1.6,3,6,69.3,11.09
144.0,-133.4,-9.5,0,0,77.7,2.5
59.0,-57.5,21.5,12,22,40.1,59.71
16.0,-109.7,0.1,4,7,26.3,5.68
171.0,-87.4,5.4,6,11,95.4,47.96
135.0,-129.7,-4.9,2,4,75.5,6.44
149.0,-82.7,9.3,7,13,82.0,54.12
162.0,-112.1,-0.7,4,7,88.2,18.54
11.0,-75.3,16.8,10,19,14.3,18.41
